the	["the"]
tiny	["'ti", "ny"]
block	["'block"]
protection	["pro", "'tec", "tion"]
settle	["'set", "tle"]
feed	["'feed"]
collect	["col", "'lect"]
additional	["ad", "'di", "tion", "al"]
highly	["'high", "ly"]
identity	["i", "den", "'ti", "ty"]
title	["'ti", "tle"]
mostly	["'most", "ly"]
lesson	["'les", "son"]
faith	["'faith"]
river	["'riv", "er"]
promote	["pro", "'mote"]
living	["'liv", "ing"]
count	["'count"]
unless	["un", "'less"]
marry	["'mar", "ry"]
tomorrow	["to", "'mor", "row"]
technique	["tech", "'nique"]
path	["'path"]
ear	["'ear"]
shop	["'shop"]
folk	["'folk"]
principle	["'prin", "ci", "ple"]
survive	["sur", "'vive"]
lift	["'lift"]
border	["'bor", "der"]
competition	["com", "pe", "'ti", "tion"]
jump	["'jump"]
gather	["'gath", "er"]
limit	["'lim", "it"]
fit	["'fit"]
cry	["'cry"]
equipment	["e", "'quip", "ment"]
worth	["'worth"]
associate	["as", "'so", "ci", "ate"]
critic	["'crit", "ic"]
warm	["'warm"]
aspect	["'as", "pect"]
insist	["in", "'sist"]
failure	["'fail", "ure"]
annual	["'an", "nu", "al"]
french	["'french"]
comment	["'com", "ment"]
affair	["af", "'fair"]
responsible	["re", "'spon", "si", "ble"]
procedure	["pro", "'ce", "dure"]
regular	["'reg", "u", "lar"]
spread	["'spread"]
chairman	["'chair", "man"]
baseball	["'base", "ball"]
soft	["'soft"]
ignore	["ig", "'nore"]
egg	["'egg"]
belief	["be", "'lief"]
demonstrate	["'dem", "on", "strate"]
anybody	["'an", "y", "bod", "y"]
murder	["'mur", "der"]
gift	["'gift"]
religion	["re", "'li", "gion"]
review	["re", "'view"]
editor	["'ed", "i", "tor"]
engage	["en", "'gage"]
coffee	["'cof", "fee"]
document	["'doc", "u", "ment"]
speed	["'speed"]
cross	["'cross"]
influence	["'in", "flu", "ence"]
anyway	["'an", "y", "way"]
commit	["com", "'mit"]
threaten	["'thret", "en"]
female	["'fe", "male"]
youth	["'youth"]
wave	["'wave"]
afraid	["a", "'fraid"]
quarter	["'quar", "ter"]
background	["'back", "ground"]
native	["'na", "tive"]
broad	["'broad"]
wonderful	["'won", "der", "ful"]
deny	["de", "'ny"]
apparently	["ap", "'par", "ent", "ly"]
slightly	["'slight", "ly"]
reaction	["re", "'ac", "tion"]
twice	["'twice"]
suit	["'suit"]
perspective	["per", "'spec", "tive"]
growing	["'grow", "ing"]
blow	["'blow"]
construction	["con", "'struc", "tion"]
intelligence	["in", "'tel", "li", "gence"]
destroy	["de", "'stroy"]
cook	["'cook"]
connection	["con", "'nec", "tion"]
burn	["'burn"]
shoe	["'shoe"]
neighbor	["'neigh", "bor"]
grade	["'grade"]
context	["'con", "text"]
committee	["com", "'mit", "tee"]
hey	["'hey"]
mistake	["mis", "'take"]
location	["lo", "'ca", "tion"]
clothes	["'clothes"]
quiet	["'qui", "et"]
indian	["'in", "di", "an"]
dress	["'dress"]
promise	["'prom", "ise"]
aware	["a", "'ware"]
function	["'func", "tion"]
bone	["'bone"]
active	["'ac", "tive"]
extend	["ex", "'tend"]
chief	["'chief"]
combine	["com", "'bine"]
wine	["'wine"]
below	["be", "'low"]
cool	["'cool"]
voter	["'vot", "er"]
bus	["'bus"]
learning	["'learn", "ing"]
hell	["'hell"]
dangerous	["'dan", "ger", "ous"]
remind	["re", "'mind"]
moral	["'mor", "al"]
united	["u", "'ni", "ted"]
category	["'cat", "e", "go", "ry"]
relatively	["'rel", "a", "tive", "ly"]
victory	["'vic", "to", "ry"]
academic	["ac", "a", "'dem", "ic"]
internet	["'in", "ter", "net"]
healthy	["'health", "y"]
negative	["'neg", "a", "tive"]
following	["'fol", "low", "ing"]
historical	["his", "'tor", "i", "cal"]
medicine	["'med", "i", "cine"]
tour	["'tour"]
depend	["de", "'pend"]
photo	["'pho", "to"]
finding	["'find", "ing"]
grab	["'grab"]
direct	["di", "'rect"]
classroom	["'class", "room"]
contact	["'con", "tact"]
justice	["'jus", "tice"]
participate	["par", "'tic", "i", "pate"]
daily	["'dai", "ly"]
fair	["'fair"]
pair	["'pair"]
famous	["'fa", "mous"]
exercise	["'ex", "er", "cise"]
knee	["'knee"]
flower	["'flow", "er"]
tape	["'tape"]
hire	["'hire"]
familiar	["fa", "'mil", "iar"]
appropriate	["ap", "'pro", "pri", "ate"]
supply	["sup", "'ply"]
fully	["'ful", "ly"]
actor	["'ac", "tor"]
birth	["'birth"]
search	["'search"]
tie	["'tie"]
democracy	["de", "'moc", "ra", "cy"]
eastern	["'eas", "tern"]
primary	["'pri", "mar", "y"]
yesterday	["'yes", "ter", "day"]
circle	["'cir", "cle"]
device	["de", "'vice"]
progress	["'prog", "ress"]
bottom	["'bot", "tom"]
island	["'i", "land"]
exchange	["ex", "'change"]
clean	["'clean"]
studio	["'stu", "di", "o"]
train	["'train"]
lady	["'la", "dy"]
colleague	["'col", "league"]
application	["ap", "pli", "'ca", "tion"]
lean	["'lean"]
neck	["'neck"]
damage	["'dam", "age"]
plastic	["'plas", "tic"]
tall	["'tall"]
plate	["'plate"]
hate	["'hate"]
otherwise	["'oth", "er", "wise"]
writing	["'writ", "ing"]
male	["'male"]
alive	["a", "'live"]
expression	["ex", "'pres", "sion"]
football	["'foot", "ball"]
theater	["'the", "a", "ter"]
intend	["in", "'tend"]
chicken	["'chick", "en"]
army	["'ar", "my"]
abuse	["a", "'buse"]
shut	["'shut"]
map	["'map"]
extra	["'ex", "tra"]
session	["'ses", "sion"]
welcome	["'wel", "come"]
danger	["'dan", "ger"]
domestic	["do", "'mes", "tic"]
lots	["'lots"]
literature	["'lit", "er", "a", "ture"]
rain	["'rain"]
desire	["de", "'sire"]
assessment	["as", "'sess", "ment"]
injury	["'in", "ju", "ry"]
respect	["re", "'spect"]
paint	["'paint"]
northern	["'nor", "thern"]
nod	["'nod"]
fuel	["'fuel"]
leaf	["'leaf"]
dry	["'dry"]
russian	["'rus", "sian"]
instruction	["in", "'struc", "tion"]
pool	["'pool"]
climb	["'climb"]
sweet	["'sweet"]
engine	["'en", "gine"]
fourth	["'fourth"]
salt	["'salt"]
expand	["ex", "'pand"]
importance	["im", "'por", "tance"]
metal	["'met", "al"]
fat	["'fat"]
ticket	["'tick", "et"]
software	["'soft", "ware"]
disappear	["dis", "ap", "'pear"]
corporate	["'cor", "po", "rate"]
strange	["'strange"]
reading	["'read", "ing"]
lip	["'lip"]
urban	["'ur", "ban"]
mental	["'men", "tal"]
increasingly	["in", "'crea", "sing", "ly"]
lunch	["'lunch"]
educational	["ed", "u", "'ca", "tion", "al"]
somewhere	["'some", "where"]
farmer	["'farm", "er"]
sugar	["'shu", "gar"]
planet	["'plan", "et"]
favorite	["'fa", "vor", "ite"]
explore	["ex", "'plore"]
obtain	["ob", "'tain"]
enemy	["'en", "e", "my"]
greatest	["'great", "est"]
complex	["'com", "plex"]
surround	["sur", "'round"]
athlete	["'ath", "lete"]
invite	["in", "'vite"]
repeat	["re", "'peat"]
carefully	["'care", "ful", "ly"]
soul	["'soul"]
scientific	["sci", "en", "'tif", "ic"]
impossible	["im", "'pos", "si", "ble"]
panel	["'pan", "el"]
meaning	["'mean", "ing"]
mom	["'mom"]
married	["'mar", "ried"]
instrument	["'in", "stru", "ment"]
predict	["pre", "'dict"]
weather	["'weath", "er"]
presidential	["pres", "i", "'den", "tial"]
commitment	["com", "'mit", "ment"]
emotional	["e", "'mo", "tion", "al"]
supreme	["su", "'preme"]
bear	["'bear"]
pocket	["'pock", "et"]
thin	["'thin"]
temperature	["'tem", "per", "a", "ture"]
poll	["'poll"]
surprise	["sur", "'prise"]
proposal	["pro", "'po", "sal"]
consequence	["'con", "se", "quence"]
breath	["'breath"]
sight	["'sight"]
balance	["'bal", "ance"]
adopt	["a", "'dopt"]
minority	["mi", "'nor", "i", "ty"]
straight	["'straight"]
connect	["con", "'nect"]
works	["'works"]
teaching	["'teach", "ing"]
belong	["be", "'long"]
aid	["'aid"]
advice	["ad", "'vice"]
okay	["o", "'kay"]
organize	["'or", "gan", "ize"]
photograph	["'pho", "to", "graph"]
empty	["'emp", "ty"]
regional	["'re", "gion", "al"]
trail	["'trail"]
novel	["'nov", "el"]
code	["'code"]
somehow	["'some", "how"]
jury	["'ju", "ry"]
iraqi	["i", "'ra", "qi"]
breast	["'breast"]
acknowledge	["ac", "'knowl", "edge"]
theme	["'theme"]
storm	["'storm"]
union	["'un", "ion"]
desk	["'desk"]
thanks	["'thanks"]
fruit	["'fruit"]
expensive	["ex", "'pen", "sive"]
yellow	["'yel", "low"]
conclusion	["con", "'clu", "sion"]
prime	["'prime"]
shadow	["'shad", "ow"]
struggle	["'strug", "gle"]
conclude	["con", "'clude"]
dance	["dance"]
analyst	["'an", "a", "list"]
regulation	["reg", "u", "'la", "tion"]
being	["'be", "ing"]
ring	["ring"]
largely	["'large", "ly"]
shift	["shift"]
revenue	["'rev", "e", "nue"]
locate	["lo", "'cate"]
mark	["mark"]
county	["'coun", "ty"]
appearance	["ap", "'pear", "ance"]
package	["'pack", "age"]
difficulty	["'dif", "fi", "cul", "ty"]
bridge	["bridge"]
recommend	["rec", "o", "'mend"]
obvious	["'ob", "vi", "ous"]
basically	["'ba", "sic", "al", "ly"]
e-mail	["'e", "mail"]
generate	["'gen", "er", "ate"]
anymore	["'an", "y", "more"]
propose	["pro", "'pose"]
thinking	["'think", "ing"]
possibly	["'pos", "si", "bly"]
trend	["trend"]
visitor	["'vis", "i", "tor"]
loan	["loan"]
currently	["'cur", "rent", "ly"]
comfortable	["'com", "fort", "a", "ble"]
investor	["in", "'ves", "tor"]
profit	["'prof", "it"]
angry	["'an", "gry"]
crew	["crew"]
accident	["'ac", "ci", "dent"]
meal	["meal"]
hearing	["'hear", "ing"]
traffic	["'traf", "fic"]
muscle	["'mus", "cle"]
notion	["'no", "tion"]
capture	["'cap", "ture"]
prefer	["pre", "'fer"]
chest	["chest"]
japanese	["jap", "a", "'nese"]
truly	["'tru", "ly"]
earth	["earth"]
thick	["thick"]
cash	["cash"]
museum	["mu", "'se", "um"]
beauty	["'beau", "ty"]
emergency	["e", "'mer", "gen", "cy"]
unique	["u", "'nique"]
internal	["in", "'ter", "nal"]
ethnic	["'eth", "nic"]
link	["link"]
stress	["stress"]
content	["'con", "tent"]
select	["se", "'lect"]
root	["root"]
nose	["nose"]
declare	["de", "'clare"]
appreciate	["ap", "'pre", "ci", "ate"]
actual	["'ac", "tu", "al"]
bottle	["'bot", "tle"]
hardly	["'hard", "ly"]
setting	["'set", "ting"]
launch	["launch"]
file	["file"]
sick	["sick"]
outcome	["'out", "come"]
ad	["ad"]
defend	["de", "'fend"]
duty	["'du", "ty"]
sheet	["sheet"]
ensure	["en", "'sure"]
ought	["ought"]
long-term	["'long", "term"]
extremely	["ex", "'treme", "ly"]
catholic	["'cath", "o", "lic"]
extent	["ex", "'tent"]
mix	["mix"]
component	["com", "'po", "nent"]
slow	["slow"]
contrast	["'con", "trast"]
zone	["zone"]
wake	["wake"]
airport	["'air", "port"]
ourselves	["our", "'selves"]
brown	["brown"]
shirt	["shirt"]
pilot	["'pi", "lot"]
warn	["warn"]
ultimately	["'ul", "ti", "mate", "ly"]
cat	["cat"]
contribution	["con", "tri", "'bu", "tion"]
capacity	["ca", "'pac", "i", "ty"]
estate	["e", "'state"]
guide	["guide"]
circumstance	["'cir", "cum", "stance"]
snow	["snow"]
english	["'eng", "lish"]
politician	["pol", "i", "'ti", "cian"]
steal	["steal"]
pursue	["pur", "'sue"]
slip	["slip"]
percentage	["per", "'cent", "age"]
meat	["meat"]
funny	["'fun", "ny"]
neither	["'nei", "ther"]
soil	["soil"]
surgery	["'sur", "ger", "y"]
correct	["cor", "'rect"]
jewish	["'jew", "ish"]
due	["due"]
blame	["blame"]
estimate	["'es", "ti", "mate"]
basketball	["'bas", "ket", "ball"]
golf	["golf"]
investigate	["in", "'ves", "ti", "gate"]
crazy	["'cra", "zy"]
significantly	["sig", "'nif", "i", "cant", "ly"]
chain	["chain"]
branch	["branch"]
combination	["com", "bi", "'na", "tion"]
frequently	["'fre", "quent", "ly"]
governor	["'gov", "er", "nor"]
relief	["re", "'lief"]
user	["'u", "ser"]
dad	["dad"]
kick	["kick"]
ancient	["'an", "cient"]
manner	["'man", "ner"]
rating	["'rat", "ing"]
silence	["'si", "lence"]
golden	["'gold", "en"]
motion	["'mo", "tion"]
german	["'ger", "man"]
gender	["'gen", "der"]
solve	["solve"]
fee	["fee"]
landscape	["'land", "scape"]
used	["used"]
bowl	["bowl"]
equal	["'e", "qual"]
frame	["frame"]
forth	["forth"]
typical	["'typ", "i", "cal"]
except	["ex", "'cept"]
conservative	["con", "'ser", "va", "tive"]
eliminate	["e", "'lim", "i", "nate"]
hall	["hall"]
host	["host"]
trust	["trust"]
ocean	["'o", "cean"]
row	["row"]
producer	["pro", "'du", "cer"]
afford	["af", "'ford"]
meanwhile	["'mean", "while"]
regime	["re", "'gime"]
division	["di", "'vi", "sion"]
fix	["fix"]
confirm	["con", "'firm"]
appeal	["ap", "'peal"]
mirror	["'mir", "ror"]
tooth	["tooth"]
length	["length"]
smart	["smart"]
rely	["re", "'ly"]
entirely	["en", "'tire", "ly"]
complain	["com", "'plain"]
topic	["'top", "ic"]
variable	["'var", "i", "a", "ble"]
telephone	["'tel", "e", "phone"]
perception	["per", "'cep", "tion"]
attract	["at", "'tract"]
secret	["'se", "cret"]
bedroom	["'bed", "room"]
confidence	["'con", "fi", "dence"]
debt	["debt"]
rare	["rare"]
tank	["tank"]
nurse	["nurse"]
opposition	["op", "po", "'si", "tion"]
coverage	["'cov", "er", "age"]
aside	["a", "'side"]
anywhere	["'an", "y", "where"]
bond	["bond"]
pleasure	["'plea", "sure"]
master	["'mas", "ter"]
era	["'e", "ra"]
requirement	["re", "'quire", "ment"]
fun	["fun"]
wing	["wing"]
expectation	["ex", "pec", "ta", "'tion"]
separate	["'sep", "a", "rate"]
somewhat	["'some", "what"]
pour	["pour"]
stir	["stir"]
judgment	["'judg", "ment"]
beer	["beer"]
reference	["'ref", "er", "ence"]
tear	["tear"]
doubt	["doubt"]
grant	["grant"]
seriously	["'se", "ri", "ous", "ly"]
minister	["'min", "is", "ter"]
totally	["'to", "tal", "ly"]
hero	["'he", "ro"]
industrial	["in", "'dus", "tri", "al"]
cloud	["cloud"]
stretch	["stretch"]
winner	["'win", "ner"]
volume	["'vol", "ume"]
seed	["seed"]
surprised	["sur", "'prised"]
fashion	["'fash", "ion"]
pepper	["'pep", "per"]
busy	["'bus", "y"]
intervention	["in", "ter", "'ven", "tion"]
copy	["'cop", "y"]
tip	["tip"]
cheap	["cheap"]
aim	["aim"]
cite	["cite"]
welfare	["'wel", "fare"]
vegetable	["'veg", "e", "ta", "ble"]
dish	["dish"]
improvement	["im", "'prove", "ment"]
beach	["beach"]
everywhere	["'ev", "ery", "where"]
gray	["gray"]
opening	["'o", "pen", "ing"]
overall	["'o", "ver", "all"]
divide	["di", "'vide"]
initial	["i", "'ni", "tial"]
terrible	["'ter", "ri", "ble"]
oppose	["op", "'pose"]
route	["route"]
contemporary	["con", "'tem", "po", "rar", "y"]
multiple	["'mul", "ti", "ple"]
essential	["es", "'sen", "tial"]
league	["league"]
careful	["'care", "ful"]
criminal	["'crim", "i", "nal"]
core	["core"]
upper	["'up", "per"]
rush	["rush"]
necessarily	["'nec", "es", "sar", "i", "ly"]
specifically	["spe", "'cif", "i", "cal", "ly"]
tired	["tired"]
employ	["em", "'ploy"]
holiday	["'hol", "i", "day"]
vast	["vast"]
fewer	["'few", "er"]
household	["'house", "hold"]
resolution	["res", "o", "'lu", "tion"]
abortion	["a", "'bor", "tion"]
witness	["'wit", "ness"]
apart	["a", "'part"]
match	["match"]
barely	["'bare", "ly"]
sector	["'sec", "tor"]
emphasize	["'em", "pha", "size"]
representative	["rep", "re", "'zen", "ta", "tive"]
beneath	["be", "'neath"]
incident	["'in", "ci", "dent"]
beside	["be", "'side"]
limited	["'lim", "it", "ed"]
proud	["proud"]
flow	["flow"]
faculty	["'fac", "ul", "ty"]
waste	["waste"]
increased	["in", "'creased"]
merely	["'mere", "ly"]
mass	["mass"]
experiment	["ex", "'per", "i", "ment"]
definitely	["'def", "i", "nite", "ly"]
bomb	["bomb"]
liberal	["'lib", "er", "al"]
enormous	["e", "'nor", "mous"]
tone	["tone"]
massive	["'mas", "sive"]
engineer	["en", "gi", "'neer"]
wheel	["wheel"]
decline	["de", "'cline"]
invest	["in", "'vest"]
cable	["'ca", "ble"]
towards	["to", "'wards"]
expose	["ex", "'pose"]
rural	["'ru", "ral"]
narrow	["'nar", "row"]
cream	["cream"]
secretary	["'sec", "re", "tar", "y"]
gate	["gate"]
solid	["'sol", "id"]
hill	["hill"]
noise	["noise"]
typically	["'typ", "i", "cal", "ly"]
grass	["grass"]
hat	["hat"]
unfortunately	["un", "'for", "tu", "nate", "ly"]
legislation	["leg", "is", "'la", "tion"]
succeed	["suc", "'ceed"]
celebrate	["'cel", "e", "brate"]
achievement	["a", "'chieve", "ment"]
fishing	["'fish", "ing"]
accuse	["ac", "'cuse"]
useful	["'use", "ful"]
reject	["re", "'ject"]
talent	["'tal", "ent"]
taste	["taste"]
characteristic	["char", "ac", "ter", "'is", "tic"]
milk	["milk"]
escape	["es", "'cape"]
cast	["cast"]
sentence	["'sen", "tence"]
unusual	["un", "'u", "su", "al"]
closely	["'close", "ly"]
convince	["con", "'vince"]
height	["height"]
physician	["phy", "'si", "cian"]
assess	["as", "'sess"]
plenty	["'plen", "ty"]
virtually	["'vir", "tu", "al", "ly"]
addition	["ad", "'di", "tion"]
sharp	["sharp"]
creative	["cre", "'a", "tive"]
lower	["'low", "er"]
approve	["ap", "'prove"]
explanation	["ex", "pla", "'na", "tion"]
gay	["gay"]
honor	["'hon", "or"]
proper	["'prop", "er"]
campus	["'cam", "pus"]
guilty	["'guil", "ty"]
acquire	["ac", "'quire"]
technical	["'tech", "ni", "cal"]
compete	["com", "'pete"]
plus	["plus"]
immigrant	["'im", "mi", "grant"]
weak	["weak"]
illegal	["il", "'le", "gal"]
hi	["hi"]
alternative	["al", "'ter", "na", "tive"]
column	["'col", "umn"]
interaction	["in", "ter", "'ac", "tion"]
personality	["per", "son", "'al", "i", "ty"]
curriculum	["cu", "'ric", "u", "lum"]
signal	["'sig", "nal"]
passenger	["'pas", "sen", "ger"]
assistance	["as", "'sis", "tance"]
forever	["for", "'ev", "er"]
regard	["re", "'gard"]
israeli	["is", "'ra", "e", "li"]
association	["as", "so", "ci", "'a", "tion"]
twenty	["'twen", "ty"]
knock	["knock"]
lab	["lab"]
wrap	["wrap"]
display	["dis", "'play"]
criticism	["'crit", "i", "cism"]
asset	["'as", "set"]
depression	["de", "'pres", "sion"]
spiritual	["'spir", "i", "tu", "al"]
musical	["'mu", "si", "cal"]
prayer	["prayer"]
journalist	["'jour", "nal", "ist"]
suspect	["'sus", "pect"]
scholar	["'schol", "ar"]
warning	["'warn", "ing"]
climate	["'cli", "mate"]
cheese	["cheese"]
observation	["ob", "ser", "'va", "tion"]
payment	["'pay", "ment"]
childhood	["'child", "hood"]
sir	["sir"]
permit	["per", "'mit"]
definition	["def", "i", "'ni", "tion"]
cigarette	["cig", "a", "'rette"]
priority	["pri", "'or", "i", "ty"]
bread	["bread"]
creation	["cre", "'a", "tion"]
graduate	["'grad", "u", "ate"]
request	["re", "'quest"]
emotion	["e", "'mo", "tion"]
scream	["scream"]
dramatic	["dra", "'mat", "ic"]
universe	["'u", "ni", "verse"]
gap	["gap"]
deeply	["'deep", "ly"]
excellent	["'ex", "cel", "lent"]
prosecutor	["'pros", "e", "cu", "tor"]
lucky	["'luck", "y"]
drag	["drag"]
airline	["'air", "line"]
library	["'li", "brar", "y"]
agenda	["a", "'gen", "da"]
recover	["re", "'cov", "er"]
factory	["'fac", "to", "ry"]
selection	["se", "'lec", "tion"]
primarily	["pri", "'mar", "i", "ly"]
roof	["roof"]
unable	["un", "'a", "ble"]
expense	["ex", "'pense"]
initiative	["i", "'ni", "ti", "a", "tive"]
diet	["'di", "et"]
arrest	["a", "'rest"]
funding	["'fund", "ing"]
therapy	["'ther", "a", "py"]
wash	["wash"]
schedule	["'sched", "ule"]
sad	["sad"]
brief	["brief"]
housing	["'hous", "ing"]
post	["post"]
purchase	["'pur", "chase"]
existing	["ex", "'ist", "ing"]
steel	["steel"]
regarding	["re", "'gard", "ing"]
shout	["shout"]
remaining	["re", "'main", "ing"]
visual	["'vis", "u", "al"]
fairly	["'fair", "ly"]
violent	["'vi", "o", "lent"]
chip	["chip"]
silent	["'si", "lent"]
suppose	["sup", "'pose"]
self	["self"]
bike	["bike"]
tea	["tea"]
perceive	["per", "'ceive"]
comparison	["com", "'par", "i", "son"]
settlement	["'set", "tle", "ment"]
layer	["'lay", "er"]
planning	["'plan", "ning"]
description	["de", "'scrip", "tion"]
slide	["slide"]
widely	["'wide", "ly"]
wedding	["'wed", "ding"]
inform	["in", "'form"]
portion	["'por", "tion"]
territory	["'ter", "ri", "to", "ry"]
immediate	["im", "'me", "di", "ate"]
opponent	["op", "'po", "nent"]
abandon	["a", "'ban", "don"]
lake	["lake"]
transform	["trans", "'form"]
tension	["'ten", "sion"]
leading	["'lead", "ing"]
bother	["'both", "er"]
consist	["con", "'sist"]
alcohol	["'al", "co", "hol"]
enable	["en", "'a", "ble"]
saving	["'sav", "ing"]
bend	["bend"]
desert	["'des", "ert"]
shall	["shall"]
error	["'er", "ror"]
cop	["cop"]
arab	["'ar", "ab"]
double	["'dou", "ble"]
spanish	["'span", "ish"]
sand	["sand"]
print	["print"]
preserve	["pre", "'serve"]
passage	["'pas", "sage"]
formal	["'for", "mal"]
transition	["tran", "'si", "tion"]
existence	["ex", "'ist", "ence"]
participation	["par", "tic", "i", "'pa", "tion"]
album	["'al", "bum"]
arrange	["ar", "'range"]
atmosphere	["'at", "mos", "phere"]
joint	["joint"]
reply	["re", "'ply"]
cycle	["'cy", "cle"]
lock	["lock"]
opposite	["'op", "po", "site"]
deserve	["de", "'serve"]
consistent	["con", "'sis", "tent"]
resistance	["re", "'zis", "tance"]
discovery	["dis", "'cov", "er", "y"]
exposure	["ex", "'po", "sure"]
pose	["pose"]
stream	["stream"]
sale	["sale"]
pot	["pot"]
mine	["mine"]
grand	["grand"]
hello	["hel", "'lo"]
tale	["tale"]
knife	["knife"]
coalition	["co", "a", "'li", "tion"]
resolve	["re", "'solve"]
racial	["'ra", "cial"]
phase	["phase"]
joke	["joke"]
coat	["coat"]
mexican	["'mex", "i", "can"]
symptom	["'symp", "tom"]
manufacturer	["man", "u", "'fac", "tur", "er"]
